"filename", "language", "JSON", "JSON with Comments", "XML", "Markdown", "TypeScript", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Theo\Desktop\code-projects\ForgeData\.idea\ForgeData.iml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Theo\Desktop\code-projects\ForgeData\.idea\dbnavigator.xml", "XML", 0, 0, 407, 0, 0, 0, 0, 0, 0, 407
"c:\Users\Theo\Desktop\code-projects\ForgeData\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Theo\Desktop\code-projects\ForgeData\.idea\mongodb-settings-v1.xml", "XML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Theo\Desktop\code-projects\ForgeData\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Theo\Desktop\code-projects\ForgeData\README.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 11, 22
"c:\Users\Theo\Desktop\code-projects\ForgeData\dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Theo\Desktop\code-projects\ForgeData\package-lock.json", "JSON", 952, 0, 0, 0, 0, 0, 0, 0, 1, 953
"c:\Users\Theo\Desktop\code-projects\ForgeData\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\data\events.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\data\visits.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\example.json", "JSON", 77, 0, 0, 0, 0, 0, 0, 0, 0, 77
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\index.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 7, 11, 50
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\ts\collectData.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 8, 20, 51
"c:\Users\Theo\Desktop\code-projects\ForgeData\src\utils\get.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 1, 20, 82
"c:\Users\Theo\Desktop\code-projects\ForgeData\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 1068, 12, 456, 11, 116, 16, 1, 16, 64, 1760
